variant,seed,epoch,mIoU,boundary_f1_mean,trimap_mIoU_mean,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
A,42,160,0.815127,0.771875,0.521630,0.984613,0.875574,0.933866,0.599618,0.667771,0.700519,0.746548,0.826526,0.930927,0.666586,0.953017,0.848923,0.689436,0.957568,0.864455,0.905633,0.832095,0.707476,0.796258
A,123,160,0.810961,0.773134,0.522255,0.984396,0.875413,0.934345,0.565779,0.660963,0.701306,0.742664,0.823538,0.931316,0.667391,0.955529,0.848289,0.680620,0.958887,0.861474,0.917064,0.813816,0.690129,0.795335
A,456,160,0.812403,0.772246,0.521099,0.984177,0.874648,0.933401,0.567359,0.674096,0.701482,0.748607,0.831882,0.931122,0.673187,0.954184,0.844437,0.668331,0.956969,0.849673,0.903968,0.837043,0.707661,0.793430
B,42,160,0.814296,0.763699,0.539636,0.984818,0.871675,0.933656,0.596869,0.672506,0.696590,0.768900,0.833347,0.930768,0.654030,0.955866,0.850841,0.684486,0.956755,0.841448,0.903796,0.837047,0.699436,0.798791
B,123,160,0.808617,0.764951,0.538280,0.984660,0.872754,0.932151,0.574459,0.647287,0.700335,0.769677,0.835897,0.931412,0.666810,0.955713,0.850062,0.694633,0.953579,0.754746,0.913930,0.822143,0.705772,0.797696
B,456,160,0.809890,0.763026,0.536703,0.983788,0.867558,0.932434,0.566330,0.662302,0.695717,0.767042,0.836310,0.930642,0.662144,0.956364,0.845974,0.675506,0.953367,0.811133,0.874742,0.852955,0.715717,0.797876
C′,42,160,0.805000,0.764284,0.538115,0.984601,0.870312,0.932290,0.560307,0.653414,0.697583,0.768619,0.837234,0.930382,0.666405,0.954737,0.850437,0.679629,0.951891,0.757088,0.871788,0.821472,0.706284,0.800531
C′,123,160,0.812474,0.764785,0.537916,0.983964,0.867631,0.933378,0.575174,0.657196,0.700514,0.774872,0.836410,0.931852,0.669745,0.955084,0.847342,0.671002,0.957200,0.840517,0.906804,0.823360,0.705907,0.799059
C′,456,160,0.809237,0.763897,0.539269,0.984156,0.868071,0.932914,0.574464,0.654610,0.697445,0.772011,0.839327,0.931522,0.663860,0.955746,0.849873,0.681835,0.954939,0.832148,0.886698,0.803159,0.695387,0.797343
D′,42,160,0.817610,0.772289,0.524765,0.984624,0.873797,0.934632,0.592845,0.670999,0.701135,0.753097,0.829235,0.931692,0.668884,0.953462,0.850006,0.686849,0.960102,0.861619,0.926470,0.825836,0.731537,0.797779
D′,123,160,0.815450,0.770270,0.521855,0.984884,0.875796,0.935804,0.601220,0.666055,0.703699,0.750768,0.825166,0.931847,0.667181,0.953544,0.847521,0.685523,0.957589,0.850787,0.916665,0.828814,0.713132,0.797560
D′,456,160,0.816227,0.772684,0.523098,0.984809,0.873969,0.934006,0.582887,0.668851,0.698931,0.746709,0.826432,0.931627,0.665682,0.955345,0.849454,0.683785,0.958678,0.861147,0.926969,0.832136,0.728099,0.798800
