comparison,metric,delta_mean,t_stat,p_value,p_holm,significant_holm_0.05
A-B,mIoU,+0.190,3.546,0.0712,0.2846,no
A-C′,mIoU,+0.393,1.161,0.3654,0.7308,no
A-D′,mIoU,-0.360,-6.100,0.0258,0.1550,no
B-C′,mIoU,+0.203,0.526,0.6513,0.7308,no
B-D′,mIoU,-0.549,-4.997,0.0378,0.1890,no
C′-D′,mIoU,-0.753,-2.693,0.1146,0.3439,no
A-B,boundary_f1_mean,+0.853,24.583,0.0017,0.0083,yes
A-C′,boundary_f1_mean,+0.810,32.044,0.0010,0.0058,yes
A-D′,boundary_f1_mean,+0.067,0.612,0.6031,0.6031,no
B-C′,boundary_f1_mean,-0.043,-1.391,0.2989,0.5978,no
B-D′,boundary_f1_mean,-0.786,-6.018,0.0265,0.0795,no
C′-D′,boundary_f1_mean,-0.743,-7.454,0.0175,0.0701,no
A-B,trimap_mIoU_mean,-1.654,-22.342,0.0020,0.0116,yes
A-C′,trimap_mIoU_mean,-1.677,-22.715,0.0019,0.0116,yes
A-D′,trimap_mIoU_mean,-0.158,-1.514,0.2691,0.5382,no
B-C′,trimap_mIoU_mean,-0.023,-0.187,0.8692,0.8692,no
B-D′,trimap_mIoU_mean,+1.497,18.354,0.0030,0.0118,yes
C′-D′,trimap_mIoU_mean,+1.519,16.470,0.0037,0.0118,yes
